episode_id,asset_type,file,sha256,width,height
HC20260810-008,article-card,A05.png,b8c0738faacf9a26035746cd6c2d9cae49552605726bc85f9d250e7b09e9df09,1080,1920
HC20260810-008,article-card,A06.png,f3c9a4fd799a9f00777269af94801657456824422deead373d93cbff22a164a8,1080,1920
HC20260810-008,article-card,A07.png,0b25a02fb850da08ecc1c2dfdad2357173c7d5d988e97e39bd3aa5914eafcc9c,1080,1920
HC20260810-008,cover,cover-v01.png,0b1d15d0ae91d57000ba1ca139375f7f95d81b448c6c77900013d84675e26724,1080,1920
HC20260810-009,article-card,A01.png,89a8d7826813601a52040a72064e63dab6fd799f700ee35f4f498d1553873603,1080,1920
HC20260810-009,article-card,A02.png,2203a82a4d5a3ca5873281584f2eda3a0584a86096b1dc51b4dbb8a86eeb6848,1080,1920
HC20260810-009,article-card,A03.png,6fa4aedc1e961de9171541136e8482313f30ff0a1507c05fc3c27c4f9ed30373,1080,1920
HC20260810-009,article-card,A04.png,debef681868a80f0db902702923dc688137579a94447b8266bd6cfaca441be84,1080,1920
HC20260810-009,article-card,A05.png,48d658974c4cb0841d21a28cedc75250bc0557f1b8c274ca3f01f55bdcb5cda4,1080,1920
HC20260810-009,article-card,A06.png,38116f69440f913ad1f35eb2b44760d235f7805525e685b5bd7c956c86dd8341,1080,1920
HC20260810-009,article-card,A07.png,b73a52f4a92cb1a5b6aa07f9baa3d64d612a0a9d2fbddcaf7e346f86e402c254,1080,1920
HC20260810-009,cover,cover-v01.png,9162a9115c4fb4e42d8af0d304dc6752673e4c6ee88478517c3134b3c165e711,1080,1920
HC20260810-010,article-card,A01.png,31240301df4a978a8aa106e10b82f93edde38e4a362ddb0b35f8fcb9828ff379,1080,1920
HC20260810-010,article-card,A02.png,3f14660896d699176dec5644206485f8ff609ab0577723c12badc0c2f2a1c4ff,1080,1920
HC20260810-010,article-card,A03.png,e196ce5137412540abdb0052c829b2b0b01c9430ae6ddd4b601cf1ebd0c61d80,1080,1920
HC20260810-010,article-card,A04.png,60480dee0b007155fb1d6732b4ae11cf7b0e7c20cd30f531b4ee070a2f58a8f0,1080,1920
HC20260810-010,article-card,A05.png,f85210d31f0649f75d884b5ee897db8de37af914331ce7a838446d3111fbe551,1080,1920
HC20260810-010,article-card,A06.png,e88a90328c606dd4fe1151662e1f839d2d8d50ab56f11f919f893808f30e827b,1080,1920
HC20260810-010,article-card,A07.png,241d2e0625fb6a876ce7a31863beeb672cd6461c72329cd316c29427d4b7b58f,1080,1920
HC20260810-010,cover,cover-v01.png,43958456295fcaa1fb1a737106eae1715ba95965843695d9c74c241326113295,1080,1920
